Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0211776996618438,-1.22728266438443E-08,0.220694894832878,0,0,0,31.440945977861,0.303296482329575,-1.67101174915287E-06,0.0507896153372789,2.55073722062815,2.13037549899861E-08,2.73494594645884,0,0,0,0,0,0,package://manipulator/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://manipulator/meshes/base_link.STL,,chassis-1,robot_origin_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rear_shaft,-1.11022302462516E-16,0,0.254,0,0,0,1.02790122650355,0.0222708703975125,1.05879118406788E-20,7.30648942347479E-20,0.0222708703975125,1.28838771050466E-19,0.000331023775623048,0,0,0,0,0,0,package://manipulator/meshes/rear_shaft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://manipulator/meshes/rear_shaft.STL,,rear_shaft-1,rear_right_frame,rear_axis,rear_shaft_joint,continuous,-0.254678481031125,-0.254000153585616,0.1016,-1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
rear_right_wheel,-8.79605066561595E-09,3.52349549537223E-09,0.0254000563127965,0,0,0,0.627305726641921,0.00204148062072574,1.19734260311977E-09,-7.48969655149847E-11,0.00204147729457848,2.87979816380951E-11,0.00389311509621041,0,0,0,0,0,0,package://manipulator/meshes/rear_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://manipulator/meshes/rear_right_wheel.STL,,wheel-2,rear_right_frame,rear_axis,rear_right_wheel_joint,continuous,0,0,0,0,0,0,rear_shaft,0,0,-1,,,,,,,,,,,,
rear_left_wheel,-9.37474553541762E-09,1.37828781721083E-09,-0.0253999436872031,0,0,0,0.627305726641925,0.00204147989803352,1.82074875298365E-09,-7.95440770898799E-11,0.00204147801727073,1.05649829318396E-11,0.00389311509621043,0,0,0,0,0,0,package://manipulator/meshes/rear_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://manipulator/meshes/rear_left_wheel.STL,,wheel-3,rear_left_frame,rear_axis,rear_left_wheel_joint,continuous,0,0,0.508,0,0,0,rear_shaft,0,0,-1,,,,,,,,,,,,
front_right_shaft,-0.0431205113179054,5.17185116954977E-09,0.0239485321305914,0,0,0,0.535359913631541,0.000836353410948497,-6.15885540479402E-10,-0.000555136856499355,0.00217714694801786,-5.81341875436344E-10,0.00151373754697996,0,0,0,0,0,0,package://manipulator/meshes/front_right_shaft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://manipulator/meshes/front_right_shaft.STL,,front_shaft-1,front_right_shaft_frame,front_right_axis,front_right_sahft_joint,continuous,0.253321518968875,-0.101600153585616,0.1016,0,0,1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
front_right_wheel,-9.41724098701968E-09,3.76971070560339E-05,0.0254000563127964,0,0,0,0.627305726641923,0.00204147976835884,1.88207273872621E-09,-7.98651082560103E-11,0.00204147814694538,7.77454306124795E-12,0.00389311509621041,0,0,0,0,0,0,package://manipulator/meshes/front_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://manipulator/meshes/front_right_wheel.STL,,wheel-1,front_right_wheel_frame,front_right_axis,front_right_wheel_joint,fixed,-0.1524,0,-3.76960577197494E-05,-1.5707963267949,0,-1.5707963267949,front_right_shaft,0,1,0,,,,,,,,,,,,
front_left_shaft,0.0431205113179056,-5.17185116954977E-09,0.0239485321305912,0,0,0,0.53535991363154,0.000836353410948491,-6.15885539623722E-10,0.000555136856499352,0.00217714694801786,5.81341875066337E-10,0.00151373754697996,0,0,0,0,0,0,package://manipulator/meshes/front_left_shaft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://manipulator/meshes/front_left_shaft.STL,,front_shaft-2,front_left_shaft_frame,front_left_axis,front_left_shaft_joint,continuous,0.253321518968875,0.101599846414384,0.1016,0,0,1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
front_left_wheel,-9.41724054293047E-09,3.76971070559229E-05,-0.0253999436872032,0,0,0,0.627305726641925,0.00204147976835886,1.88207274048894E-09,-7.98651083867113E-11,0.00204147814694539,7.77454374069249E-12,0.00389311509621043,0,0,0,0,0,0,package://manipulator/meshes/front_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://manipulator/meshes/front_left_wheel.STL,,wheel-4,front_left_wheel_frame,front_axis,front_left_wheel_joint,fixed,0.1524,0,-3.76960577197494E-05,-1.5707963267949,0,-1.5707963267949,front_left_shaft,-1,0,0,,,,,,,,,,,,
manipulator_base,1.20570220474292E-13,4.77395900588817E-14,0.0221577186195164,0,0,0,0.343652649470195,0.000931840317732508,-3.93117586115653E-19,2.41532900673122E-18,0.000931840317732507,8.20324158237791E-18,0.00144684523805802,0,0,0,0,0,0,package://manipulator/meshes/manipulator_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://manipulator/meshes/manipulator_base.STL,,base-1,frame0,joint1_axis,manipulator_base_joint,fixed,0.354921518968873,-0.00035241085596216,0.2667,0,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
link1,-0.00476743254742651,0,0.0577748363838581,0,0,0,1.48027865388571,0.00299692664042462,-2.23569703188312E-09,1.3154618503852E-06,0.00394348618991032,-1.84484036222152E-10,0.00298109357001247,0,0,0,0,0,0,package://manipulator/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://manipulator/meshes/link1.STL,,Hormbro-1,frame1,joint1_axis,link1_joint,continuous,0,0,0.083058,0,0.0823309272452037,1.4401673322326,manipulator_base,-0.082237947023427,0,0.996612723212669,,,,,,,,,,,,
